location_type,stop_id,stop_lat,stop_lon,parent_station,stop_name,stop_code,stop_timezone,preferred,stop_url,wheelchair_boarding,stop_desc,zone_id
0,93138,43.8955183,-79.029968,,Salem Southbound @ Dunwell Cr,93138,,2,,1,,
0,93139,43.89463400000001,-79.042023,,Harwood Southbound @ Taunton,93139,,2,,2,,
0,93140,43.895046,-79.042096,,Harwood Northbound @ Taunton,93140,,2,,1,,
0,93141,43.8911583,-79.03853429999998,,Harwood Northbound @ Haskell,93141,,2,,1,,
0,93142,43.8885767,-79.0376546,,Harwood Southbound @ Williamson,93142,,2,,2,,
0,93143,43.87613300000001,-79.044178,,Rossland Westbound @ Westney,93143,,1,,1,,
0,93145,43.879163,-79.017714,,Southbound @ 800 Salem,93145,,2,,1,,
0,93146,43.87883,-79.01727099999998,,Northbound @ 789 Salem,93146,,2,,2,,
0,93147,43.8711003,-79.0177387,,Salem Southbound @ Kerrison,93147,,2,,2,,
0,93148,43.8704308,-79.0177597,,Salem Northbound @ Kerrison,93148,,2,,1,,
0,93149,43.8671137,-79.0176202,,Salem Southbound @ Ringer,93149,,2,,2,,
0,93150,43.8666738,-79.0171273,,Salem Northbound @ Ringer,93150,,2,,1,,
0,93151,43.86358,-79.016129,,Salem Southbound @ Kingston,93151,,2,,1,,
0,93152,43.86368800000001,-79.015986,,Salem Northbound @ Kingston,93152,,2,,1,,
0,93158,43.850484,-78.98969099999998,,Bayly Westbound @ Audley,93158,,1,,1,,
0,93159,43.8495632,-78.9937104,,Westbound @ 508 Bayly,93159,,2,,1,,
0,93160,43.890577,-79.027818,,Southbound @ 1508 Salem,93160,,2,,1,,
0,93161,43.89315689,-79.028651,,Salem Northbound @ Williamson,93161,,2,,1,,
0,93177,43.939112,-78.849112,,Harmony Northbound @ Taunton (South side stop),93177,,2,,1,,
0,93178,43.89651,-78.86306,,Simcoe Northbound @ Athol,93178,,2,,1,,
0,93179,43.87183948,-78.89140999999998,,Eastbound @ 933 Bloor Street West,93179,,2,,2,,
0,93183,43.88834,-78.844227,,Dean Westbound @ Normandy,93183,,2,,1,,
0,93185,43.906341,-78.921216,,Northbound @ 3193 Thickson,93185,,2,,1,,
